userid,placeid,local_datetime,categoryid,latitude,longitude,country_name,state,category
1338,86572,2010-03-21T19:22:53Z,2,30.6838217,-88.2036991,United States,Alabama,Food
162577,86572,2010-03-21T19:19:35Z,2,30.6838217,-88.2036991,United States,Alabama,Food
174066,86572,2010-03-21T19:20:07Z,2,30.6838217,-88.2036991,United States,Alabama,Food
1338,309884,2010-03-21T19:22:18Z,2,30.6838966789,-88.2029673219,United States,Alabama,Food
162577,309884,2010-03-21T19:18:19Z,2,30.6838966789,-88.2029673219,United States,Alabama,Food
174066,309884,2010-03-21T19:22:58Z,2,30.6838966789,-88.2029673219,United States,Alabama,Food
1338,711631,2010-03-21T17:36:09Z,0,30.6885765746,-88.0434990594,United States,Alabama,Community
1338,414380,2010-03-21T17:33:59Z,6,30.6912625488,-88.0399274826,United States,Alabama,Travel
1338,129580,2010-03-21T17:33:24Z,1,30.6920559858,-88.0380392075,United States,Alabama,Entertainment
1338,11865,2010-03-21T16:40:24Z,4,30.6817777043,-88.014446497,United States,Alabama,Outdoors
162577,11865,2010-03-21T16:41:51Z,4,30.6817777043,-88.014446497,United States,Alabama,Outdoors
174066,11865,2010-03-21T16:44:39Z,4,30.6817777043,-88.014446497,United States,Alabama,Outdoors
21919,11865,2011-05-21T16:23:19Z,4,30.6817777043,-88.014446497,United States,Alabama,Outdoors
74630,11865,2011-05-21T15:07:42Z,4,30.6817777043,-88.014446497,United States,Alabama,Outdoors
1338,560383,2010-03-21T15:54:39Z,2,30.6725121333,-88.2248930333,United States,Alabama,Food
174066,560383,2010-03-21T19:24:29Z,2,30.6725121333,-88.2248930333,United States,Alabama,Food
174066,560383,2010-03-21T15:55:11Z,2,30.6725121333,-88.2248930333,United States,Alabama,Food
1338,747788,2010-03-20T18:56:45Z,0,30.69683074,-88.23911273,United States,Alabama,Community
1338,747788,2010-03-19T23:14:25Z,0,30.69683074,-88.23911273,United States,Alabama,Community
162577,747788,2010-03-20T18:46:29Z,0,30.69683074,-88.23911273,United States,Alabama,Community
162577,747788,2010-03-19T23:17:07Z,0,30.69683074,-88.23911273,United States,Alabama,Community
174066,747788,2010-03-20T00:29:42Z,0,30.69683074,-88.23911273,United States,Alabama,Community
1338,445453,2010-03-20T00:49:29Z,0,30.7025768833,-88.21371015,United States,Alabama,Community
1338,445453,2010-03-19T03:32:11Z,0,30.7025768833,-88.21371015,United States,Alabama,Community
162577,445453,2010-03-19T03:32:05Z,0,30.7025768833,-88.21371015,United States,Alabama,Community
174066,445453,2010-03-19T03:45:20Z,0,30.7025768833,-88.21371015,United States,Alabama,Community
1338,745129,2010-03-19T18:19:50Z,2,30.2639852833,-88.114713,United States,Alabama,Food
162577,745129,2010-03-19T18:24:09Z,2,30.2639852833,-88.114713,United States,Alabama,Food
174066,745129,2010-03-19T18:23:25Z,2,30.2639852833,-88.114713,United States,Alabama,Food
1338,744697,2010-03-19T17:38:02Z,4,30.2466723833,-88.12750905,United States,Alabama,Outdoors
1338,102401,2010-03-19T01:00:54Z,2,30.6858548833,-88.20596485,United States,Alabama,Food
162577,102401,2010-03-19T01:03:03Z,2,30.6858548833,-88.20596485,United States,Alabama,Food
174066,102401,2010-03-21T19:21:08Z,2,30.6858548833,-88.20596485,United States,Alabama,Food
15659,199047,2011-05-18T14:44:35Z,0,33.38552898,-86.77705383,United States,Alabama,Community
15659,199047,2010-12-16T17:13:55Z,0,33.38552898,-86.77705383,United States,Alabama,Community
15659,199047,2010-12-14T19:08:32Z,0,33.38552898,-86.77705383,United States,Alabama,Community
28250,199047,2010-12-11T20:53:50Z,0,33.38552898,-86.77705383,United States,Alabama,Community
15659,779322,2011-01-03T20:59:52Z,4,33.3265334,-86.64257505,United States,Alabama,Outdoors
15659,779322,2010-12-03T01:40:27Z,4,33.3265334,-86.64257505,United States,Alabama,Outdoors
15659,779322,2010-04-17T18:22:00Z,4,33.3265334,-86.64257505,United States,Alabama,Outdoors
15659,779322,2010-04-16T21:36:37Z,4,33.3265334,-86.64257505,United States,Alabama,Outdoors
15659,779322,2010-03-23T21:51:29Z,4,33.3265334,-86.64257505,United States,Alabama,Outdoors
15659,1360674,2010-12-08T00:12:18Z,2,33.44653469,-86.73147249,United States,Alabama,Food
15201,1360674,2010-12-11T17:22:06Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2011-03-19T17:23:10Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2011-01-29T19:32:09Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2010-11-21T19:02:21Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2010-10-02T20:01:53Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2010-07-24T19:23:50Z,2,33.44653469,-86.73147249,United States,Alabama,Food
1556,1360674,2010-07-24T19:23:32Z,2,33.44653469,-86.73147249,United States,Alabama,Food
14410,1360674,2010-08-10T16:58:04Z,2,33.44653469,-86.73147249,United States,Alabama,Food
15659,762830,2010-12-05T16:03:17Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-11-28T15:57:21Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-11-21T16:04:14Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-05-09T15:22:18Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-04-25T14:50:03Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-04-18T14:56:34Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-04-14T23:06:19Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-04-11T16:36:28Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-04-03T01:00:01Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,762830,2010-03-21T14:47:18Z,0,33.4491755333,-86.79057835,United States,Alabama,Community
15659,478760,2010-12-03T16:37:33Z,1,33.3140519,-86.8008764,United States,Alabama,Entertainment
1556,478760,2010-01-30T17:41:03Z,1,33.3140519,-86.8008764,United States,Alabama,Entertainment
14410,478760,2010-08-01T00:39:05Z,1,33.3140519,-86.8008764,United States,Alabama,Entertainment
15659,318997,2010-12-02T17:33:38Z,2,33.4500361853,-86.8244898319,United States,Alabama,Food
15659,318997,2010-03-25T17:26:56Z,2,33.4500361853,-86.8244898319,United States,Alabama,Food
1556,318997,2010-02-25T01:12:57Z,2,33.4500361853,-86.8244898319,United States,Alabama,Food
1556,318997,2010-01-28T15:52:41Z,2,33.4500361853,-86.8244898319,United States,Alabama,Food
15659,1009035,2010-11-28T18:10:54Z,2,33.448144332,-86.7899264479,United States,Alabama,Food
15659,1009035,2010-04-24T23:39:35Z,2,33.448144332,-86.7899264479,United States,Alabama,Food
1556,1009035,2010-06-12T18:07:41Z,2,33.448144332,-86.7899264479,United States,Alabama,Food
15659,209329,2010-11-21T01:29:13Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2011-01-23T16:11:37Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2010-06-06T16:01:55Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2010-05-16T22:47:55Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2010-01-07T06:13:52Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2009-12-23T20:59:19Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
1556,209329,2009-12-19T17:58:24Z,2,33.4709756489,-86.7721071047,United States,Alabama,Food
15659,235574,2010-10-14T17:39:11Z,2,33.4374336,-86.7221172,United States,Alabama,Food
15659,28810,2010-09-25T17:45:56Z,0,33.5088028333,-86.8036799333,United States,Alabama,Community
1556,28810,2009-12-15T22:35:05Z,0,33.5088028333,-86.8036799333,United States,Alabama,Community
1556,28810,2009-11-18T18:30:39Z,0,33.5088028333,-86.8036799333,United States,Alabama,Community
1556,28810,2009-09-25T16:58:17Z,0,33.5088028333,-86.8036799333,United States,Alabama,Community
15659,1015589,2010-04-25T22:52:48Z,2,33.4090623453,-86.6649879335,United States,Alabama,Food
15659,933863,2010-04-24T00:12:30Z,2,33.277178764,-86.792745005,United States,Alabama,Food
15659,933863,2010-04-13T16:09:42Z,2,33.277178764,-86.792745005,United States,Alabama,Food
15659,627541,2010-04-23T17:46:09Z,5,33.2747032,-86.7932313167,United States,Alabama,Shopping
15659,638575,2010-04-23T15:17:08Z,5,33.5073623546,-86.7895835638,United States,Alabama,Shopping
14410,638575,2010-04-22T14:32:16Z,5,33.5073623546,-86.7895835638,United States,Alabama,Shopping
15659,833100,2010-04-22T15:57:52Z,4,33.36408585,-86.7245972667,United States,Alabama,Outdoors
15659,128705,2010-04-20T16:24:52Z,2,33.4946444833,-86.7813406167,United States,Alabama,Food
15659,128705,2010-03-20T16:28:48Z,2,33.4946444833,-86.7813406167,United States,Alabama,Food
1556,128705,2009-12-01T14:26:05Z,2,33.4946444833,-86.7813406167,United States,Alabama,Food
15659,281434,2010-04-20T15:37:51Z,2,33.44674755,-86.73220105,United States,Alabama,Food
395162,281434,2010-09-12T00:27:06Z,2,33.44674755,-86.73220105,United States,Alabama,Food
395162,281434,2010-09-02T19:29:01Z,2,33.44674755,-86.73220105,United States,Alabama,Food
395162,281434,2010-08-28T01:22:10Z,2,33.44674755,-86.73220105,United States,Alabama,Food
1556,281434,2010-01-17T20:22:30Z,2,33.44674755,-86.73220105,United States,Alabama,Food
14410,281434,2010-04-05T16:40:58Z,2,33.44674755,-86.73220105,United States,Alabama,Food
14410,281434,2010-03-04T17:24:34Z,2,33.44674755,-86.73220105,United States,Alabama,Food
15659,93124,2010-04-20T14:54:45Z,5,33.4090747,-86.6682107167,United States,Alabama,Shopping
15659,93124,2010-03-28T16:50:01Z,5,33.4090747,-86.6682107167,United States,Alabama,Shopping
28662,93124,2010-03-28T00:43:38Z,5,33.4090747,-86.6682107167,United States,Alabama,Shopping
15659,933709,2010-04-13T15:41:26Z,4,33.2823037,-86.79295315,United States,Alabama,Outdoors
15659,933517,2010-04-13T15:07:45Z,5,33.45292405,-86.7875455833,United States,Alabama,Shopping
15659,933367,2010-04-13T14:36:57Z,5,33.4089342,-86.66631635,United States,Alabama,Shopping
15659,113806,2010-04-13T14:25:45Z,2,33.3485442275,-86.6321861744,United States,Alabama,Food
15659,538702,2010-04-11T23:45:21Z,2,33.4082882433,-86.6652054328,United States,Alabama,Food
28662,538702,2010-02-10T23:16:47Z,2,33.4082882433,-86.6652054328,United States,Alabama,Food
15659,548857,2010-04-11T17:31:14Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
3535,548857,2011-05-15T23:53:38Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
15201,548857,2011-04-06T23:07:33Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
15201,548857,2010-05-09T21:32:49Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
15201,548857,2010-04-18T01:51:05Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
1556,548857,2010-06-13T19:57:37Z,2,33.4277523313,-86.7099809647,United States,Alabama,Food
15659,657250,2010-04-10T19:37:37Z,2,33.3823448667,-86.7373908167,United States,Alabama,Food
15659,209186,2010-04-10T00:03:12Z,2,33.37466385,-86.8026457,United States,Alabama,Food
28250,209186,2009-12-28T18:12:06Z,2,33.37466385,-86.8026457,United States,Alabama,Food
15201,209186,2010-12-13T01:14:00Z,2,33.37466385,-86.8026457,United States,Alabama,Food
1556,209186,2010-06-18T21:14:27Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-08-27T16:41:40Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-07-07T16:55:34Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-06-01T16:18:52Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-05-13T16:52:42Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-04-07T17:43:42Z,2,33.37466385,-86.8026457,United States,Alabama,Food
14410,209186,2010-01-29T17:48:08Z,2,33.37466385,-86.8026457,United States,Alabama,Food
15659,26116,2010-04-04T16:21:16Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2010-03-11T01:34:56Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2010-02-03T17:52:55Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-12-17T23:30:49Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-12-12T18:56:43Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-12-06T14:39:50Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-12-01T23:52:50Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-10-25T13:48:35Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
1556,26116,2009-09-20T13:52:34Z,2,33.4461864667,-86.7918698167,United States,Alabama,Food
15659,194395,2010-03-31T23:37:18Z,2,33.3901117,-86.7966672,United States,Alabama,Food
1556,194395,2010-04-03T01:00:58Z,2,33.3901117,-86.7966672,United States,Alabama,Food
1556,194395,2010-02-05T22:37:44Z,2,33.3901117,-86.7966672,United States,Alabama,Food
15659,380452,2010-03-29T16:23:29Z,2,33.3865115825,-86.7391829829,United States,Alabama,Food
15659,305440,2010-03-28T23:43:16Z,2,33.4183701976,-86.6825948601,United States,Alabama,Food
15201,305440,2011-05-17T00:08:20Z,2,33.4183701976,-86.6825948601,United States,Alabama,Food
1556,305440,2010-02-06T22:51:59Z,2,33.4183701976,-86.6825948601,United States,Alabama,Food
15659,127908,2010-03-28T17:04:13Z,2,33.4076156616,-86.6651153564,United States,Alabama,Food
15659,738688,2010-03-24T17:56:18Z,2,33.331596531,-86.7921325713,United States,Alabama,Food
1556,738688,2010-05-15T21:25:51Z,2,33.331596531,-86.7921325713,United States,Alabama,Food
15659,584484,2010-03-21T23:22:30Z,2,33.4112931647,-86.6717433929,United States,Alabama,Food
15659,9693,2010-03-20T15:15:54Z,1,33.4866859954,-86.7792463303,United States,Alabama,Entertainment
1556,9693,2011-01-02T02:14:44Z,1,33.4866859954,-86.7792463303,United States,Alabama,Entertainment
1556,9693,2010-01-26T23:19:13Z,1,33.4866859954,-86.7792463303,United States,Alabama,Entertainment
1556,9693,2009-12-01T23:31:00Z,1,33.4866859954,-86.7792463303,United States,Alabama,Entertainment
15659,38445,2010-03-04T17:54:13Z,2,33.513107299,-86.7960739163,United States,Alabama,Food
1556,38445,2010-01-12T17:38:02Z,2,33.513107299,-86.7960739163,United States,Alabama,Food
1556,38445,2009-11-23T23:20:20Z,2,33.513107299,-86.7960739163,United States,Alabama,Food
1556,38445,2009-11-23T17:29:23Z,2,33.513107299,-86.7960739163,United States,Alabama,Food
1556,38445,2009-10-06T16:37:26Z,2,33.513107299,-86.7960739163,United States,Alabama,Food
15659,106291,2010-03-02T18:20:24Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
28662,106291,2010-03-09T20:33:00Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
28662,106291,2010-01-04T19:31:19Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2011-02-17T14:46:10Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2011-01-17T19:43:57Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-12-02T17:44:57Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-09-18T12:36:35Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-04-08T16:22:45Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-02-18T18:18:56Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-01-26T21:49:35Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2010-01-25T14:46:25Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-30T23:41:51Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-18T20:36:27Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-16T20:24:46Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-15T21:16:45Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-14T17:58:19Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-11T14:12:27Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-08T18:32:05Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-07T13:47:30Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-03T18:15:40Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-02T20:05:36Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-12-01T19:01:04Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-11-30T23:45:04Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-11-30T20:23:24Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-11-30T15:01:02Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-11-24T14:14:37Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
1556,106291,2009-11-16T17:52:17Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
88871,106291,2010-03-25T17:55:23Z,1,33.5147513222,-86.8080961704,United States,Alabama,Entertainment
15659,185508,2010-01-25T16:04:02Z,2,33.4441641833,-86.73093405,United States,Alabama,Food
28662,185508,2009-12-22T17:10:18Z,2,33.4441641833,-86.73093405,United States,Alabama,Food
15201,185508,2011-05-05T14:52:56Z,2,33.4441641833,-86.73093405,United States,Alabama,Food
15659,44567,2010-01-16T18:58:23Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2011-01-18T14:04:04Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2011-01-16T21:45:32Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2010-02-22T02:06:53Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2010-01-30T02:08:37Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2010-01-18T00:39:12Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2010-01-03T00:13:06Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-12-24T20:41:58Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-12-19T03:07:53Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-12-06T20:10:57Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-12-04T00:53:26Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-11-29T23:41:29Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-11-18T00:41:41Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-11-01T21:17:50Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
1556,44567,2009-10-11T21:53:04Z,5,33.4034027627,-86.8080747128,United States,Alabama,Shopping
53352,4367797,2010-09-24T21:31:31Z,0,34.268362972,-86.206204974,United States,Alabama,Community
53352,305650,2010-05-15T01:38:20Z,2,32.6322595333,-85.4364993333,United States,Alabama,Food
53352,305650,2010-01-15T00:45:19Z,2,32.6322595333,-85.4364993333,United States,Alabama,Food
102805,305650,2010-08-14T00:11:22Z,2,32.6322595333,-85.4364993333,United States,Alabama,Food
102805,305650,2010-05-27T00:13:17Z,2,32.6322595333,-85.4364993333,United States,Alabama,Food
102805,305650,2010-05-15T01:38:49Z,2,32.6322595333,-85.4364993333,United States,Alabama,Food
53352,195175,2010-05-14T17:50:49Z,2,32.5752317333,-85.50028115,United States,Alabama,Food
53352,195175,2009-12-11T19:51:16Z,2,32.5752317333,-85.50028115,United States,Alabama,Food
53352,1110809,2010-05-14T01:28:45Z,2,32.6079280833,-85.4816301833,United States,Alabama,Food
102805,1110809,2010-05-14T01:29:14Z,2,32.6079280833,-85.4816301833,United States,Alabama,Food
53352,383881,2010-01-15T02:21:28Z,3,32.5853010333,-85.4896273333,United States,Alabama,Nightlife
53352,139844,2010-01-08T23:59:45Z,2,32.4891657833,-86.4110513667,United States,Alabama,Food
53352,196108,2010-01-06T03:14:45Z,1,32.3545491778,-86.2163576173,United States,Alabama,Entertainment
53352,331621,2010-01-06T01:42:52Z,2,32.35761745,-86.1690369833,United States,Alabama,Food
53352,326334,2010-01-05T01:15:06Z,2,32.35557639,-86.15012496,United States,Alabama,Food
53352,321430,2010-01-04T02:01:26Z,2,32.35041093,-86.22009694,United States,Alabama,Food
53352,274395,2009-12-26T21:47:56Z,5,32.6079756,-85.4255926833,United States,Alabama,Shopping
3535,274395,2010-05-28T19:30:07Z,5,32.6079756,-85.4255926833,United States,Alabama,Shopping
53352,265563,2009-12-24T19:57:39Z,5,32.6109870333,-85.4805366,United States,Alabama,Shopping
53352,261341,2009-12-24T00:06:04Z,2,33.96859759,-86.02562421,United States,Alabama,Food
102805,261341,2010-02-17T21:51:57Z,2,33.96859759,-86.02562421,United States,Alabama,Food
53352,192064,2009-12-11T01:09:10Z,1,32.3771053313,-86.3102450364,United States,Alabama,Entertainment
22482,192064,2009-12-15T23:50:12Z,1,32.3771053313,-86.3102450364,United States,Alabama,Entertainment
102805,192064,2010-05-06T23:37:15Z,1,32.3771053313,-86.3102450364,United States,Alabama,Entertainment
162577,652642,2010-03-21T21:19:43Z,2,30.6785943307,-88.2255155823,United States,Alabama,Food
174066,652642,2010-03-21T19:22:38Z,2,30.6785943307,-88.2255155823,United States,Alabama,Food
162577,194282,2010-03-21T20:00:11Z,2,30.6754216333,-88.2280169667,United States,Alabama,Food
174066,194282,2010-03-21T19:23:49Z,2,30.6754216333,-88.2280169667,United States,Alabama,Food
162577,261991,2010-03-21T19:54:28Z,5,30.66826105,-88.20675814,United States,Alabama,Shopping
174066,261991,2010-03-21T19:37:07Z,5,30.66826105,-88.20675814,United States,Alabama,Shopping
162577,565541,2010-03-21T19:22:21Z,1,30.6708843707,-88.1906394478,United States,Alabama,Entertainment
174066,565541,2010-03-21T19:35:25Z,1,30.6708843707,-88.1906394478,United States,Alabama,Entertainment
162577,431168,2010-03-21T19:21:47Z,2,30.6736578073,-88.1902856024,United States,Alabama,Food
174066,431168,2010-03-21T19:35:10Z,2,30.6736578073,-88.1902856024,United States,Alabama,Food
162577,224157,2010-03-21T19:21:27Z,2,30.6841938,-88.2214453333,United States,Alabama,Food
174066,224157,2010-03-21T19:20:46Z,2,30.6841938,-88.2214453333,United States,Alabama,Food
162577,459424,2010-03-21T19:21:08Z,2,30.676706027,-88.1871819136,United States,Alabama,Food
174066,459424,2010-03-21T19:34:51Z,2,30.676706027,-88.1871819136,United States,Alabama,Food
162577,481516,2010-03-21T19:20:53Z,0,30.68217295,-88.18809944,United States,Alabama,Community
174066,481516,2010-03-21T19:36:51Z,0,30.68217295,-88.18809944,United States,Alabama,Community
162577,600049,2010-03-21T19:20:38Z,2,30.6791818142,-88.1913918257,United States,Alabama,Food
174066,600049,2010-03-21T19:35:44Z,2,30.6791818142,-88.1913918257,United States,Alabama,Food
162577,430913,2010-03-21T19:20:16Z,2,30.6821474,-88.19787865,United States,Alabama,Food
174066,430913,2010-03-21T19:24:49Z,2,30.6821474,-88.19787865,United States,Alabama,Food
162577,637236,2010-03-21T17:34:56Z,1,30.6907827931,-88.0439400673,United States,Alabama,Entertainment
162577,78380,2010-03-21T16:46:09Z,4,30.684896365,-88.0148756504,United States,Alabama,Outdoors
162577,78380,2010-03-21T16:45:53Z,4,30.684896365,-88.0148756504,United States,Alabama,Outdoors
174066,78380,2010-03-21T16:45:19Z,4,30.684896365,-88.0148756504,United States,Alabama,Outdoors
74630,78380,2011-05-21T15:06:00Z,4,30.684896365,-88.0148756504,United States,Alabama,Outdoors
174066,296666,2010-03-21T19:39:36Z,2,30.6744877,-88.17338508,United States,Alabama,Food
